arm,conc,pool,size,ops,ops_per_s,p50_us,p99_us,max_us,reused_frac,dials,dial_stalls
inproc-http,1,32,4096,2000,25593,31,120,999,0.9995,1,0
inproc-http,1,64,4096,2000,32169,28,91,622,0.9995,1,0
inproc-http,1,128,4096,2000,33416,28,76,284,0.9995,1,0
inproc-http,1,256,4096,2000,33593,27,55,513,0.9995,1,0
inproc-http,4,32,4096,2000,70941,44,180,464,0.9980,4,0
inproc-http,4,64,4096,2000,69606,48,171,458,0.9980,4,0
inproc-http,4,128,4096,2000,72031,46,176,432,0.9980,4,0
inproc-http,4,256,4096,2000,75233,43,169,449,0.9980,4,0
inproc-http,16,32,4096,3200,113462,112,550,1086,0.9962,12,0
inproc-http,16,64,4096,3200,116171,107,509,1058,0.9975,8,0
inproc-http,16,128,4096,3200,116114,112,528,927,0.9950,16,0
inproc-http,16,256,4096,3200,118908,108,512,679,0.9950,16,0
inproc-http,64,32,4096,12800,124177,372,1838,3372,0.9946,69,0
inproc-http,64,64,4096,12800,127533,366,1755,4267,0.9972,36,0
inproc-http,64,128,4096,12800,121323,383,1969,4328,0.9971,37,0
inproc-http,64,256,4096,12800,120941,386,1933,3963,0.9959,53,0
inproc-http,128,32,4096,25600,105938,809,5277,12470,0.9965,90,0
inproc-http,128,64,4096,25600,116142,739,4656,14074,0.9969,80,0
inproc-http,128,128,4096,25600,124014,731,4008,7891,0.9972,72,0
inproc-http,128,256,4096,25600,122781,737,4058,7480,0.9960,102,0
inproc-http,256,32,4096,51200,95717,1865,11254,42053,0.9965,180,0
inproc-http,256,64,4096,51200,113193,1760,7792,15988,0.9974,132,0
inproc-http,256,128,4096,51200,116419,1658,8392,16534,0.9972,145,0
inproc-http,256,256,4096,51200,128373,1518,7449,14149,0.9982,93,0
inproc-http,512,32,4096,102400,94429,4796,16103,33280,0.9981,199,0
inproc-http,512,64,4096,102400,102668,4357,17623,29785,0.9982,186,0
inproc-http,512,128,4096,102400,105453,3999,16211,32231,0.9976,242,0
inproc-http,512,256,4096,102400,114747,3613,17999,35556,0.9981,192,0
inproc-tls,1,64,4096,2000,21004,32,161,3582,0.9995,1,0
inproc-tls,4,64,4096,2000,67708,46,186,1890,0.9980,4,0
inproc-tls,16,64,4096,3200,74765,116,2928,8118,0.9975,8,0
inproc-tls,64,64,4096,12800,86083,369,8866,47768,0.9985,19,0
inproc-tls,128,64,4096,25600,46402,616,59119,122176,0.9991,23,0
inproc-tls,256,64,4096,51200,42858,733,103649,296224,0.9991,48,0
inproc-tls,512,64,4096,102400,53184,1386,151189,475665,0.9992,82,0
fresh,16,64,4096,4000,34991,409,916,1656,0.0000,4000,0
fresh,64,64,4096,3968,24859,2220,5965,8341,0.0000,3968,0
fresh,256,64,4096,3840,28510,5334,72717,81530,0.0000,3840,0
minio,1,32,4096,2000,4648,158,1108,4834,0.9995,1,0
minio,1,64,4096,2000,5158,149,877,3574,0.9995,1,0
minio,1,128,4096,2000,6094,144,384,2815,0.9995,1,0
minio,1,256,4096,2000,6323,146,314,625,0.9995,1,0
minio,4,32,4096,2000,13752,242,654,1147,0.9980,4,0
minio,4,64,4096,2000,13024,259,818,2349,0.9980,4,0
minio,4,128,4096,2000,13368,259,631,1112,0.9980,4,0
minio,4,256,4096,2000,13492,251,611,1081,0.9980,4,0
minio,16,32,4096,3200,22745,595,1841,8573,0.9950,16,0
minio,16,64,4096,3200,24191,525,1987,9569,0.9950,16,0
minio,16,128,4096,3200,24236,494,2717,12539,0.9950,16,0
minio,16,256,4096,3200,18249,585,3516,39230,0.9962,12,0
minio,64,32,4096,12800,22452,2244,9947,28989,0.9950,64,0
minio,64,64,4096,12800,17819,2689,14320,57085,0.9958,54,0
minio,64,128,4096,12800,21441,2280,11380,59161,0.9955,57,0
minio,64,256,4096,12800,21815,2295,10626,46604,0.9963,47,0
minio,128,32,4096,25600,23248,4046,23498,64944,0.9958,108,0
minio,128,64,4096,25600,20823,4646,26235,78549,0.9961,100,0
minio,128,128,4096,25600,21393,4216,29435,100397,0.9958,107,0
minio,128,256,4096,25600,23304,4294,21114,105760,0.9957,110,0
minio,256,32,4096,51200,25324,7744,40603,121130,0.9946,277,0
minio,256,64,4096,51200,28743,6976,34305,82646,0.9968,162,0
minio,256,128,4096,51200,29293,6713,32872,67299,0.9969,158,0
minio,256,256,4096,51200,26495,7031,44218,105617,0.9973,140,0
minio,512,32,4096,102400,27054,15383,70522,232529,0.9952,490,0
minio,512,64,4096,102400,29044,14497,56367,156835,0.9927,745,0
minio,512,128,4096,102400,23919,17591,77790,159326,0.9950,513,0
minio,512,256,4096,102400,22169,18410,96624,250409,0.9972,284,0
