store,policy,contenders,rate_per_node,dur_s,records,records_per_s,appends,appends_per_s,recs_per_batch,puts,rate412_pct,gets_per_append,append_p50_ms,append_p99_ms,commit_p50_ms,commit_p99_ms,commit_max_ms
sim,none,16,20,17.2,3200,186.1,195,11.3,16.41,2882,93.23,13.78,39.9,16315.7,8966.9,16173.7,17098.7
sim,spec,16,20,20.8,3200,154.0,193,9.3,16.58,2848,93.22,13.76,39.7,19359.5,11484.8,19280.8,20680.8
sim,fixed,16,20,21.5,3200,148.9,205,9.5,15.61,3040,93.26,13.83,33.9,19978.6,12798.9,20514.7,21439.2
sim,probe,16,20,12.2,3200,262.6,288,23.6,11.11,802,64.09,16.05,45.3,5022.8,1293.1,5663.9,6520.2
sim,spec,1,20,10.1,200,19.8,155,15.4,1.29,155,0.00,0.00,40.8,196.5,75.0,262.8,265.1
sim,spec,2,20,15.1,400,26.5,147,9.7,2.72,292,49.66,0.99,40.5,528.9,5104.3,14904.3,15024.0
sim,spec,4,20,16.6,800,48.1,157,9.4,5.10,616,74.51,2.92,33.7,15756.6,8895.2,16245.2,16571.2
sim,spec,8,20,16.4,1600,97.6,167,10.2,9.58,1280,86.95,6.66,38.9,16019.2,9349.6,15861.1,16335.9
sim,spec,16,80,22.2,12800,575.8,223,10.0,57.40,3329,93.30,13.93,42.2,21471.3,14247.7,21382.0,22207.0
sim,spec,16,320,23.0,51200,2221.7,233,10.1,219.74,3488,93.32,13.97,42.7,22304.0,15292.9,22191.4,23039.1
sim,none,16,20,82.3,19200,233.2,983,11.9,19.53,15488,93.65,14.76,37.1,76310.0,45626.6,78780.3,82226.6
sim,probe,16,20,61.6,19200,311.8,1531,24.9,12.54,4232,63.82,16.62,39.2,5845.2,1462.6,8400.5,13204.0
minio,spec,1,20,10.0,200,20.0,200,20.0,1.00,200,0.00,0.00,2.0,11.0,3.8,13.0,16.7
minio,spec,4,20,10.6,800,75.7,602,57.0,1.33,2399,74.41,2.99,3.0,6.7,4.6,10194.3,10542.9
minio,spec,16,20,10.8,3200,296.4,647,59.9,4.95,10122,90.00,14.64,2.0,10339.9,2589.0,10298.2,10747.2
minio,none,16,20,10.0,3200,318.6,3143,313.0,1.02,50198,91.74,14.97,8.5,113.2,9.2,124.6,287.1
minio,probe,16,20,10.3,3200,309.9,3023,292.7,1.06,6150,50.41,15.96,3.8,223.1,4.4,306.1,799.7
