age_ms,flush_mib,load,flushes_s,appends_s,req_s,offered_mib_s,achieved_mib_s,parks,lag_p50_ms,lag_p99_ms,req_usd_month
5,1,trickle,70.0,12.1,82.1,0.01,0.01,0,183,608,1078
5,1,steady,78.0,12.0,90.0,0.98,0.98,0,183,798,1183
5,1,heavy,79.5,12.5,92.1,200.00,79.55,25994,166,616,1210
5,8,trickle,71.5,12.7,84.1,0.01,0.01,0,177,751,1105
5,8,steady,77.3,12.6,89.9,0.98,0.98,0,179,636,1182
5,8,heavy,77.5,12.7,90.1,200.00,200.00,41,180,724,1184
5,64,trickle,70.9,13.1,84.0,0.01,0.01,0,175,630,1104
5,64,steady,77.4,12.2,89.6,0.98,0.98,0,186,741,1177
5,64,heavy,77.7,12.0,89.7,200.00,200.00,0,184,890,1179
50,1,trickle,20.0,12.4,32.4,0.01,0.01,0,152,498,426
50,1,steady,20.0,12.6,32.6,0.98,0.98,0,144,538,428
50,1,heavy,77.0,11.9,88.9,200.00,76.98,25995,171,659,1168
50,8,trickle,20.0,12.3,32.3,0.01,0.01,0,150,535,425
50,8,steady,20.0,12.6,32.6,0.98,0.98,0,142,545,428
50,8,heavy,25.0,12.8,37.8,200.00,200.00,63,149,583,496
50,64,trickle,20.0,12.5,32.5,0.01,0.01,0,147,538,427
50,64,steady,20.0,12.9,32.9,0.98,0.98,0,140,442,433
50,64,heavy,20.0,12.0,32.0,200.00,200.00,0,149,1274,420
250,1,trickle,4.0,3.9,8.0,0.01,0.01,0,225,536,104
250,1,steady,4.0,4.0,8.0,0.98,0.98,0,219,530,105
250,1,heavy,79.3,12.9,92.2,200.00,79.32,25995,164,493,1212
250,8,trickle,4.0,4.0,8.0,0.01,0.01,0,223,565,105
250,8,steady,4.0,4.0,8.0,0.98,0.98,0,220,549,105
250,8,heavy,25.0,12.9,37.9,200.00,200.00,67,145,515,497
250,64,trickle,4.0,3.9,8.0,0.01,0.01,0,230,614,104
250,64,steady,4.0,4.0,8.0,0.98,0.98,0,220,504,105
250,64,heavy,4.0,4.0,8.0,200.00,200.00,0,222,600,105
1000,1,trickle,1.0,1.0,2.0,0.01,0.01,0,603,1143,26
1000,1,steady,1.0,1.0,2.0,0.98,0.98,0,602,1166,26
1000,1,heavy,79.1,12.6,91.7,200.00,79.11,25996,164,523,1205
1000,8,trickle,1.0,1.0,2.0,0.01,0.01,0,612,1233,26
1000,8,steady,1.0,1.0,2.0,0.98,0.98,0,598,1145,26
1000,8,heavy,25.0,12.9,37.9,200.00,200.00,58,148,479,499
1000,64,trickle,1.0,1.0,2.0,0.01,0.01,0,620,1200,26
1000,64,steady,1.0,1.0,2.0,0.98,0.98,0,588,1136,26
1000,64,heavy,3.1,3.1,6.2,200.00,200.00,0,261,639,82
