kind,dist,vsizeB,budgetPct,blockKiB,spanKiB,frags,hitPct,getsPer1k,mibPer1k,usdPerMops,reqsPerScan,fetchRatio
point,uniform,200,2,32,,,1.98,980.15,30.63,0.3921,,
point,uniform,200,2,64,,,2.01,979.92,61.24,0.3920,,
point,uniform,200,2,128,,,2.00,979.97,122.50,0.3920,,
point,uniform,200,2,256,,,1.99,980.06,245.01,0.3920,,
point,uniform,200,2,512,,,2.01,979.95,489.97,0.3920,,
point,zipf,200,2,32,,,45.59,544.10,17.00,0.2176,,
point,zipf,200,2,64,,,42.46,575.44,35.96,0.2302,,
point,zipf,200,2,128,,,38.66,613.44,76.68,0.2454,,
point,zipf,200,2,256,,,34.48,655.21,163.80,0.2621,,
point,zipf,200,2,512,,,30.36,696.43,348.21,0.2786,,
point,tailzipf,200,2,32,,,2.02,979.83,30.62,0.3919,,
point,tailzipf,200,2,64,,,2.01,979.90,61.24,0.3920,,
point,tailzipf,200,2,128,,,2.00,979.96,122.49,0.3920,,
point,tailzipf,200,2,256,,,2.00,979.98,244.99,0.3920,,
point,tailzipf,200,2,512,,,2.01,979.94,489.97,0.3920,,
point,uniform,200,10,32,,,9.95,900.46,28.14,0.3602,,
point,uniform,200,10,64,,,9.98,900.16,56.26,0.3601,,
point,uniform,200,10,128,,,10.00,899.99,112.50,0.3600,,
point,uniform,200,10,256,,,10.01,899.94,224.98,0.3600,,
point,uniform,200,10,512,,,9.99,900.07,450.03,0.3600,,
point,zipf,200,10,32,,,56.77,432.31,13.51,0.1729,,
point,zipf,200,10,64,,,54.02,459.75,28.73,0.1839,,
point,zipf,200,10,128,,,51.05,489.46,61.18,0.1958,,
point,zipf,200,10,256,,,47.82,521.83,130.46,0.2087,,
point,zipf,200,10,512,,,44.17,558.29,279.14,0.2233,,
point,tailzipf,200,10,32,,,10.04,899.60,28.11,0.3598,,
point,tailzipf,200,10,64,,,10.05,899.54,56.22,0.3598,,
point,tailzipf,200,10,128,,,10.01,899.93,112.49,0.3600,,
point,tailzipf,200,10,256,,,10.01,899.88,224.97,0.3600,,
point,tailzipf,200,10,512,,,10.01,899.85,449.93,0.3599,,
point,uniform,2048,2,32,,,2.00,979.96,30.62,0.3920,,
point,uniform,2048,2,64,,,2.00,980.01,61.25,0.3920,,
point,uniform,2048,2,128,,,2.00,980.00,122.50,0.3920,,
point,uniform,2048,2,256,,,2.00,980.02,245.00,0.3920,,
point,uniform,2048,2,512,,,1.98,980.18,490.09,0.3921,,
point,zipf,2048,2,32,,,54.03,459.74,14.37,0.1839,,
point,zipf,2048,2,64,,,49.88,501.25,31.33,0.2005,,
point,zipf,2048,2,128,,,45.42,545.78,68.22,0.2183,,
point,zipf,2048,2,256,,,41.08,589.19,147.30,0.2357,,
point,zipf,2048,2,512,,,36.57,634.28,317.14,0.2537,,
point,tailzipf,2048,2,32,,,2.25,977.53,30.55,0.3910,,
point,tailzipf,2048,2,64,,,2.15,978.46,61.15,0.3914,,
point,tailzipf,2048,2,128,,,2.07,979.25,122.41,0.3917,,
point,tailzipf,2048,2,256,,,2.04,979.61,244.90,0.3918,,
point,tailzipf,2048,2,512,,,2.01,979.90,489.95,0.3920,,
point,uniform,2048,10,32,,,10.01,899.88,28.12,0.3600,,
point,uniform,2048,10,64,,,9.98,900.17,56.26,0.3601,,
point,uniform,2048,10,128,,,9.98,900.18,112.52,0.3601,,
point,uniform,2048,10,256,,,9.99,900.05,225.01,0.3600,,
point,uniform,2048,10,512,,,10.00,899.98,449.99,0.3600,,
point,zipf,2048,10,32,,,66.10,339.02,10.59,0.1356,,
point,zipf,2048,10,64,,,62.55,374.53,23.41,0.1498,,
point,zipf,2048,10,128,,,59.06,409.44,51.18,0.1638,,
point,zipf,2048,10,256,,,55.04,449.57,112.39,0.1798,,
point,zipf,2048,10,512,,,50.92,490.77,245.39,0.1963,,
point,tailzipf,2048,10,32,,,10.97,890.33,27.82,0.3561,,
point,tailzipf,2048,10,64,,,10.63,893.70,55.86,0.3575,,
point,tailzipf,2048,10,128,,,10.38,896.19,112.02,0.3585,,
point,tailzipf,2048,10,256,,,10.20,897.97,224.49,0.3592,,
point,tailzipf,2048,10,512,,,10.10,898.98,449.49,0.3596,,
scan,,,,32,64,1,,,,,1.000,1.500
scan,,,,64,64,1,,,,,1.000,2.000
scan,,,,128,64,1,,,,,1.000,3.001
scan,,,,256,64,1,,,,,1.000,5.003
scan,,,,512,64,1,,,,,1.000,9.008
scan,,,,32,64,4,,,,,4.000,3.000
scan,,,,64,64,4,,,,,4.000,4.999
scan,,,,128,64,4,,,,,4.000,9.001
scan,,,,256,64,4,,,,,4.000,16.998
scan,,,,512,64,4,,,,,4.000,33.003
scan,,,,32,1024,1,,,,,1.000,1.031
scan,,,,64,1024,1,,,,,1.000,1.062
scan,,,,128,1024,1,,,,,1.000,1.125
scan,,,,256,1024,1,,,,,1.000,1.250
scan,,,,512,1024,1,,,,,1.000,1.500
scan,,,,32,1024,4,,,,,4.000,1.125
scan,,,,64,1024,4,,,,,4.000,1.250
scan,,,,128,1024,4,,,,,4.000,1.500
scan,,,,256,1024,4,,,,,4.000,2.000
scan,,,,512,1024,4,,,,,4.000,3.000
