kind,valB,passMiB,recB,passes,dry,stagedMiB,stallP50ms,stallP99ms,stallMiBps,sustainedMiBps,ownerPctAt100,ioMiBps,setsPerSec,buildMiBps
stage,16,1,,6596,0,160.0,0.033,1.477,443,14,22.6,713,1456919,
stage,16,4,,6517,0,160.0,0.033,0.076,454,13,22.0,853,1424642,
stage,16,8,,6517,0,160.0,0.033,0.073,453,14,22.1,838,1410185,
stage,16,16,,6517,0,160.0,0.035,0.091,441,14,22.7,1843,1431978,
stage,200,1,,1077,0,160.0,0.053,0.354,2031,92,4.9,1157,1485838,
stage,200,4,,1027,0,160.1,0.052,1.452,1855,97,5.4,4474,1457246,
stage,200,8,,1022,0,160.0,0.052,0.152,2025,95,4.9,1573,1455559,
stage,200,16,,1019,0,160.0,0.052,0.246,1954,92,5.1,1499,1436611,
stage,1000,1,,357,0,160.0,0.105,0.258,4182,470,2.4,1866,1470823,
stage,1000,4,,287,0,160.1,0.118,0.879,3960,403,2.5,1185,1442358,
stage,1000,8,,279,0,160.4,0.101,1.572,4142,436,2.4,1470,1378733,
stage,1000,16,,276,0,160.1,0.108,1.919,4145,543,2.4,5652,1450804,
build,,,200,,,,,,,,,,,2763
build,,,2048,,,,,,,,,,,3371
