kind,placement,blockKiB,cap,util,ratePerSec,p50ms,p90ms,p99ms,p999ms,tailRatio,waitP99ms,meanSvcMs
point,standard,32,,,,20.52,61.00,151.15,289.39,7.37,,
point,standard,64,,,,21.08,61.81,149.75,293.45,7.10,,
point,standard,128,,,,22.01,62.41,151.64,291.99,6.89,,
point,standard,256,,,,24.08,64.88,153.85,292.39,6.39,,
point,standard,512,,,,28.01,68.66,158.61,291.70,5.66,,
point,express,32,,,,6.51,13.68,25.57,40.17,3.92,,
point,express,64,,,,7.01,14.15,25.84,40.28,3.69,,
point,express,128,,,,8.01,15.24,27.11,42.25,3.39,,
point,express,256,,,,10.03,17.22,29.08,44.50,2.90,,
point,express,512,,,,14.04,21.23,33.22,48.39,2.37,,
load,standard,128,16,0.30,154,22.11,62.74,152.03,290.89,6.88,0.00,31.08
load,standard,128,16,0.60,309,22.34,63.31,151.79,303.16,6.79,7.11,31.08
load,standard,128,16,0.80,412,24.70,67.01,153.54,291.94,6.22,34.68,31.08
load,standard,128,16,0.90,463,32.05,80.96,165.22,302.62,5.16,72.06,31.08
load,standard,128,16,0.95,489,49.04,127.07,218.74,340.69,4.46,162.85,31.08
load,standard,128,64,0.30,618,22.02,62.59,152.88,294.21,6.94,0.00,31.08
load,standard,128,64,0.60,1235,22.04,62.60,151.79,294.31,6.89,0.00,31.08
load,standard,128,64,0.80,1647,22.12,62.68,152.57,298.32,6.90,3.66,31.08
load,standard,128,64,0.90,1853,23.90,64.82,154.66,300.37,6.47,18.83,31.08
load,standard,128,64,0.95,1956,27.97,68.55,156.99,306.98,5.61,27.01,31.08
load,standard,128,256,0.30,2471,22.04,62.51,150.00,298.37,6.81,0.00,31.08
load,standard,128,256,0.60,4942,21.98,62.44,151.87,284.70,6.91,0.00,31.08
load,standard,128,256,0.80,6589,22.01,62.34,151.86,285.19,6.90,0.00,31.08
load,standard,128,256,0.90,7413,22.14,62.82,152.71,298.32,6.90,1.93,31.08
load,standard,128,256,0.95,7825,22.64,63.55,151.11,293.41,6.68,5.31,31.08
