val_bytes,mode,arm,rep,ops,ns_per_op,achieved_mibs,wal_flushes,wal_flushed_bytes,overhead_b_per_op,chain_batches,seg_puts,man_published
200,sat,off,1,2508743,610.6,334.2,67,604632121,27.0,67,0,0
200,sat,on,1,2508743,1546.7,131.9,72,604633991,27.0,72,28,28
200,sat,off,2,2508743,452.2,451.4,72,604633991,27.0,72,0,0
200,sat,on,2,2508743,1251.8,163.0,72,604633991,27.0,72,24,24
200,sat,off,3,2508743,389.5,524.0,72,604633991,27.0,72,0,0
200,sat,on,3,2508743,1257.0,162.4,72,604633991,27.0,72,24,24
summary_sat,200,off_ns=452.2,on_ns=1257.0,added_ns=804.8,ceiling_ratio=0.36,flushes_off=72,flushes_on=72,overhead_off=27.0,overhead_on=27.0,mean_obj_mib_off=8.01,mean_obj_mib_on=8.01
200,paced,off,1,2508743,2041.0,100.0,72,604633991,27.0,72,0,0
200,paced,on,1,2508743,2040.9,100.0,72,604633991,27.0,72,36,36
summary_paced,200,target_mibs=100,off_mibs=100.0,on_mibs=100.0,flushes_off=72,flushes_on=72,overhead_off=27.0,overhead_on=27.0,mean_obj_mib_off=8.01,mean_obj_mib_on=8.01
1000,sat,off,1,529459,932.6,1037.0,65,551191129,27.0,65,0,0
1000,sat,on,1,529459,2230.2,433.6,66,551191503,27.0,65,12,12
1000,sat,off,2,529459,824.6,1172.8,65,551191129,27.0,65,0,0
1000,sat,on,2,529459,2062.2,468.9,66,551191503,27.0,66,12,12
1000,sat,off,3,529459,808.4,1196.2,66,551191503,27.0,66,0,0
1000,sat,on,3,529459,2239.6,431.8,64,551190755,27.0,63,12,12
summary_sat,1000,off_ns=824.6,on_ns=2230.2,added_ns=1405.7,ceiling_ratio=0.37,flushes_off=66,flushes_on=64,overhead_off=27.0,overhead_on=27.0,mean_obj_mib_off=7.96,mean_obj_mib_on=8.21
1000,paced,off,1,529459,9669.2,100.0,65,551191129,27.0,65,0,0
1000,paced,on,1,529459,9675.0,100.0,66,551191503,27.0,66,36,36
summary_paced,1000,target_mibs=100,off_mibs=100.0,on_mibs=100.0,flushes_off=65,flushes_on=66,overhead_off=27.0,overhead_on=27.0,mean_obj_mib_off=8.09,mean_obj_mib_on=7.96
