row,enc,f_permille,obj_mib,ttl_b_per_elem,contam_pct,bearer_pct,gets_per_op,found_pct
enc,column,0,94.5,0.000,0.0,0.0,1.0000,100.00
enc,column,1,95.9,1.453,17.9,0.1,1.0000,100.00
enc,column,10,101.8,7.730,86.7,1.0,1.0000,100.00
enc,column,100,103.2,9.164,100.0,10.0,1.0000,100.00
enc,column,500,103.2,9.164,100.0,50.0,1.0000,100.00
enc,column,1000,103.2,9.164,100.0,100.0,1.0000,100.00
enc,flag,0,95.5,1.058,0.0,0.0,1.0000,100.00
enc,flag,1,95.5,1.065,0.0,0.1,1.0000,100.00
enc,flag,10,95.8,1.376,0.0,1.0,1.0000,100.00
enc,flag,100,96.5,2.161,0.0,10.0,1.0000,100.00
enc,flag,500,100.0,5.784,0.0,50.0,1.0000,100.00
enc,flag,1000,104.4,10.435,0.0,100.0,1.0000,100.00
enc,bitmap,0,94.5,0.000,0.0,0.0,1.0000,100.00
enc,bitmap,1,94.5,0.000,17.9,0.1,1.0000,100.00
enc,bitmap,10,94.5,0.068,86.6,1.0,1.0000,100.00
enc,bitmap,100,95.5,1.030,100.0,10.0,1.0000,100.00
enc,bitmap,500,98.9,4.620,100.0,50.0,1.0000,100.00
enc,bitmap,1000,103.2,9.164,100.0,100.0,1.0000,100.00
row,e_permille,obj_mib,dead_pct,live_gets,live_found,exp_gets,exp_found,rw_obj_mib,reclaimed_pct,scan_before,scan_after,scan_ceil_after
burden,250,103.2,25.0,1.0000,100.00,1.0000,0.00,77.4,25.0,7,5,5
burden,500,103.2,50.0,1.0000,100.00,1.0000,0.00,51.6,50.0,7,4,4
burden,900,103.2,90.0,1.0000,100.00,1.0000,0.00,10.3,90.0,7,1,1
