arm,param,keys,near_pct,mid_pct,far_pct,expired_pct,passes,p50_us,p99_us,max_us,entries_per_pass,probes,expired_found,expired_true,total_ms
warm,1,200000,25,25,25,50,5603,31.1,172.0,541.1,36,100000,25000,25000,210.7
warm,2,200000,25,25,25,50,3698,45.8,215.8,503.3,54,100000,25000,25000,206.4
warm,4,200000,25,25,25,50,1860,92.9,358.9,653.7,108,100008,25005,25000,205.8
warm,8,200000,25,25,25,50,941,187.6,568.6,836.0,213,100080,25016,25000,197.4
warm,16,200000,25,25,25,50,475,381.7,952.3,1366.7,422,100145,25030,25000,206.6
warm,32,200000,25,25,25,50,240,760.0,1945.5,2174.0,836,100288,25071,25000,203.2
warm,64,200000,25,25,25,50,121,1660.3,2738.5,2875.7,1662,100586,25145,25000,205.2
cold,1,200000,25,25,25,50,5603,33.7,149.5,1137.4,36,100000,25000,25000,226.3
cold,2,200000,25,25,25,50,3698,48.8,214.3,779.0,54,100000,25000,25000,222.5
cold,4,200000,25,25,25,50,1860,101.1,338.7,3033.9,108,100008,25005,25000,225.3
cold,8,200000,25,25,25,50,941,204.8,626.4,1054.2,213,100080,25016,25000,224.3
cold,16,200000,25,25,25,50,475,441.6,963.4,1431.6,422,100145,25030,25000,223.9
cold,32,200000,25,25,25,50,240,913.1,2102.0,2746.3,836,100288,25071,25000,243.5
cold,64,200000,25,25,25,50,121,1777.3,3572.0,3932.8,1662,100586,25145,25000,229.6
reap,8,200000,25,25,25,50,1042,3960.7,6093.2,10754.5,8,0,0,25000,4039.9
reap,64,200000,25,25,25,50,87,3983.8,5979.0,6105.2,64,0,0,25000,342.7
reap,256,200000,25,25,25,50,15,4052.2,4858.1,5191.8,247,0,0,25000,63.2
warm,1,1000000,25,25,25,50,28012,32.8,134.8,1426.9,36,500000,125000,125000,1106.1
warm,2,1000000,25,25,25,50,16463,60.2,179.0,858.4,61,500000,125000,125000,1076.1
warm,4,1000000,25,25,25,50,8259,123.8,373.8,2441.4,121,500000,125000,125000,1141.9
warm,8,1000000,25,25,25,50,4137,248.5,665.4,6851.0,242,500045,125007,125000,1135.9
warm,16,1000000,25,25,25,50,2070,503.9,1186.8,5532.0,483,500054,125012,125000,1136.8
warm,32,1000000,25,25,25,50,1036,1033.0,2406.1,6534.9,966,500216,125055,125000,1190.2
warm,64,1000000,25,25,25,50,518,2093.7,4124.2,8039.0,1931,500065,125016,125000,1181.7
cold,1,1000000,25,25,25,50,28012,36.4,194.0,2080.2,36,500000,125000,125000,1318.4
cold,2,1000000,25,25,25,50,16463,65.9,270.9,1283.3,61,500000,125000,125000,1281.5
cold,4,1000000,25,25,25,50,8259,134.2,469.5,1610.8,121,500000,125000,125000,1304.4
cold,8,1000000,25,25,25,50,4137,270.2,799.3,3283.3,242,500045,125007,125000,1305.3
cold,16,1000000,25,25,25,50,2070,551.6,1251.4,2311.9,483,500054,125012,125000,1304.0
cold,32,1000000,25,25,25,50,1036,1210.5,2406.7,3560.6,966,500216,125055,125000,1334.7
cold,64,1000000,25,25,25,50,518,2442.4,4501.1,7104.1,1931,500065,125016,125000,1332.7
reap,8,1000000,25,25,25,50,5209,3975.9,6065.2,43594.4,8,0,0,125000,20713.9
reap,64,1000000,25,25,25,50,435,3965.3,5974.5,8705.6,64,0,0,125000,1693.4
reap,256,1000000,25,25,25,50,73,4085.5,6142.0,7257.8,254,0,0,125000,314.8
warm,1,200000,0,0,0,50,5603,0.2,0.8,13.8,36,0,0,0,1.7
warm,2,200000,0,0,0,50,3698,0.2,0.6,1.1,54,0,0,0,1.0
warm,4,200000,0,0,0,50,1860,0.4,0.5,0.7,108,0,0,0,0.7
warm,8,200000,0,0,0,50,941,0.7,0.9,1.6,213,0,0,0,0.7
warm,16,200000,0,0,0,50,475,1.3,1.5,1.7,422,0,0,0,0.6
warm,32,200000,0,0,0,50,240,2.6,3.0,3.2,836,0,0,0,0.6
warm,64,200000,0,0,0,50,121,5.3,6.1,6.2,1662,0,0,0,0.6
cold,1,200000,0,0,0,50,5603,2.1,10.6,148.3,36,0,0,0,14.5
cold,2,200000,0,0,0,50,3698,3.0,30.8,101.2,54,0,0,0,16.0
cold,4,200000,0,0,0,50,1860,6.3,58.8,863.7,108,0,0,0,16.9
cold,8,200000,0,0,0,50,941,13.0,102.7,308.5,213,0,0,0,17.0
cold,16,200000,0,0,0,50,475,24.2,149.5,471.8,422,0,0,0,15.0
cold,32,200000,0,0,0,50,240,51.6,196.2,2358.4,836,0,0,0,17.1
cold,64,200000,0,0,0,50,121,102.8,307.8,466.5,1662,0,0,0,15.1
reap,8,200000,0,0,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0
reap,64,200000,0,0,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0
reap,256,200000,0,0,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0
