target	workload	rep1	rep2	rep3	median_ops_s	worst_p99_ms
aki-goroutine	set	11415525	11396011	11399260	11399260	1.303
aki-goroutine	get	11399260	11396011	11412269	11399260	1.255
aki-reactor	set	6142508	6145337	6146282	6145337	2.519
aki-reactor	get	6146282	6143450	6144394	6144394	2.519
aki-uring	set	6656682	6656682	6655574	6656682	2.359
aki-uring	get	6654467	6658898	6655575	6655575	2.343
redis	set	3329449	3330003	3330003	3330003	3.775
redis	get	4205656	4204772	4204772	4204772	2.287
valkey	set	2754252	2755390	2754631	2754631	4.007
valkey	get	3802643	3804090	3804090	3804090	4.671
