cell	aki_rss_kib	lean_rival_rss_kib	rss_ratio	aki_hwm_kib	lean_rival_hwm_kib	hwm_ratio	aki_used_memory	lean_rival_used_memory	ledger_ratio	strict_memory_verdict	historical_2x_verdict
set_16b_1m	218424	80612	2.710	218424	80612	2.710	65455872	66287768	0.987	MISS	MISS
set_64b_1m	251584	129940	1.936	251584	129940	1.936	113455872	115096344	0.986	MISS	PASS
set_256b_1m	507432	386516	1.313	507432	397648	1.276	305455872	367886272	0.830	MISS	PASS
set_1k_1m	1258460	1337124	0.941	1258460	1367900	0.920	1073455872	1327899120	0.808	PASS	PASS
set_4k_1m	4325340	5162592	0.838	4333572	5209560	0.832	4161455872	5167819104	0.805	PASS	PASS
set_64k_100k	7531412	8050888	0.935	7812276	8256428	0.946	7416667928	8198077416	0.905	PASS	PASS
set_1m_4k	4878404	5143624	0.948	5420876	5494328	0.987	4669193384	5244745096	0.890	PASS	PASS
get_16b_1m	134784	79204	1.702	188028	79680	2.360	65455872	66310984	0.987	MISS	MISS
get_64b_1m	186556	127384	1.465	186556	127704	1.461	113455872	115107720	0.986	MISS	PASS
get_256b_1m	607196	376800	1.611	680748	384376	1.771	305455872	367927152	0.830	MISS	PASS
get_1k_1m	2275632	1326732	1.715	2275632	1334972	1.705	1073455872	1327918488	0.808	MISS	PASS
get_4k_1m	8942840	5102420	1.753	9106544	5140116	1.772	4161455872	5167920416	0.805	MISS	PASS
get_64k_100k	7349328	7308668	1.006	7564892	7435068	1.017	6567989344	8198183736	0.801	MISS	PASS
get_1m_4k	4523760	4521376	1.001	4602064	4646724	0.990	4219484704	5244790904	0.805	MISS	PASS
set_64b_1k	94020	14792	6.356	113944	14792	7.703	153824	1736920	0.089	MISS	MISS
set_64b_100k	129304	25972	4.979	129304	26360	4.905	11318496	12560216	0.901	MISS	MISS
get_64b_1k	114964	14020	8.200	114964	14244	8.071	153824	1761288	0.087	MISS	MISS
get_64b_100k	73508	23496	3.129	158560	24152	6.565	11292512	12584840	0.897	MISS	MISS
incr_1k	117740	13956	8.437	119884	13956	8.590	97824	1672328	0.058	MISS	MISS
incr_100k	118996	18364	6.480	118996	18364	6.480	5683456	6158728	0.923	MISS	MISS
incr_1m	208928	59712	3.499	208928	66192	3.156	57447808	47894248	1.199	MISS	MISS
set_64b_1m_zipf	237692	121680	1.953	237692	121680	1.953	113432800	108987488	1.041	MISS	PASS
get_64b_1m_zipf	186688	128544	1.452	186688	128544	1.452	113455872	115103248	0.986	MISS	PASS
set_1k_1m_zipf	1270640	1216444	1.045	1270640	1216444	1.045	1067669376	1202529928	0.888	MISS	PASS
get_1k_1m_zipf	2121852	1320796	1.606	2121852	1335468	1.589	1073455872	1327911712	0.808	MISS	PASS
mset_64b_1m	382364	129608	2.950	436700	132824	3.288	113455872	115090200	0.986	MISS	MISS
getrange_1k_1m	1342024	1321300	1.016	1342024	1326952	1.011	1073455872	1327924480	0.808	MISS	PASS
getrange_64k_100k	6680700	7415108	0.901	6714452	7436208	0.903	6567989344	8198182592	0.801	PASS	PASS
append_grow_1m	1660408	1077496	1.541	1688532	1115872	1.513	1552478536	853082072	1.820	MISS	PASS
mget_64b_1m	566012	147044	3.849	623240	164016	3.800	112860960	114413096	0.986	MISS	MISS
getrange_rb_1k	1284408	1331304	0.965	1297896	1339812	0.969	1066466880	1327186816	0.804	PASS	PASS
getrange_rb_64k	7551820	7867744	0.960	7853940	7991132	0.983	7483829248	8143058688	0.919	PASS	PASS
setrange_rb_1k	1298904	1335944	0.972	1367784	1344604	1.017	1070690040	1331657568	0.804	MISS	PASS
setrange_rb_64k	7545452	7882864	0.957	7791496	7987536	0.975	7477544976	8163686832	0.916	PASS	PASS
append_rb_1k	2092268	1335068	1.567	2143296	1342896	1.596	1859991032	1329368992	1.399	MISS	PASS
append_rb_64k	7491788	7864688	0.953	7819004	7997540	0.978	7511463168	8145968616	0.922	PASS	PASS
hot_set	92044	14568	6.318	92044	15412	5.972	65912	1623864	0.041	MISS	MISS
hot_incr	97136	13720	7.080	97136	13720	7.080	65856	1623792	0.041	MISS	MISS
ltm_get	1583856	590912	2.680	2106712	601072	3.505	554011896	525424416	1.054	MISS	MISS
ltm_set	946180	545400	1.735	1053848	549828	1.917	558684792	529613728	1.055	MISS	PASS
sweep_set_256b_zipf	503688	362216	1.391	503688	368376	1.367	305315104	345409552	0.884	MISS	PASS
sweep_get_256b_zipf	607328	375212	1.619	685308	383748	1.786	305455872	367912952	0.830	MISS	PASS
sweep_set_4k_zipf	3923164	3923380	1.000	3923164	3940536	0.996	3628554960	3948171248	0.919	PASS	PASS
sweep_get_4k_zipf	7236284	5102384	1.418	7564412	5127352	1.475	4161455872	5167917272	0.805	MISS	PASS
sweep_set_64b_c50	146876	125264	1.173	149556	125264	1.194	113455776	115079648	0.986	MISS	PASS
sweep_get_64b_c50	149680	125268	1.195	149680	125268	1.195	113455872	115118096	0.986	MISS	PASS
sweep_mixed_64b	188060	129232	1.455	233076	129232	1.804	113455872	115114960	0.986	MISS	PASS
all32_set_64b	240436	128264	1.875	240436	129796	1.852	113455872	115084120	0.986	MISS	PASS
all32_get_64b	185500	128148	1.448	185500	128148	1.448	113455872	115114696	0.986	MISS	PASS
