cell	harness	aki_ops_s	redis_ops_s	valkey_ops_s	binding_ratio	p99_factor	aki_errors	aki_coverage	verdict
set_16b_1m	aki-bench	10350768	3299770	2810048	3.137	0.585	0		PASS
set_64b_1m	aki-bench	9900350	3539621	2823984	2.797	0.631	0		PASS
set_256b_1m	aki-bench	8512632	3413997	2475513	2.493	0.683	0		PASS
set_1k_1m	aki-bench	5343029	2912576	2048869	1.834	0.881	0		MISS
set_4k_1m	aki-bench	1790616	1762839	1126843	1.016	1.073	0		MISS
set_64k_100k	aki-bench	56402	208829	151166	0.270	3.601	0		MISS
set_1m_4k	aki-bench	4140	14867	12400	0.278	4.295	0		MISS
get_16b_1m	aki-bench	10531237	4697807	3905380	2.242	0.757	0		PASS
get_64b_1m	aki-bench	10112183	4470889	3897164	2.262	0.764	0		PASS
get_256b_1m	aki-bench	8514477	3012589	2696999	2.826	0.635	0		PASS
get_1k_1m	aki-bench	4514336	1971201	1774740	2.290	0.885	0		PASS
get_4k_1m	aki-bench	1481661	1175544	655716	1.260	2.372	0		MISS
get_64k_100k	aki-bench	150195	221174	289820	0.518	3.393	0		MISS
get_1m_4k	aki-bench	13035	21862	20103	0.596	2.364	0		MISS
set_64b_1k	aki-bench	11491487	4189162	2928579	2.743	0.675	0		PASS
set_64b_100k	aki-bench	10531613	4101439	2842146	2.568	0.693	0		PASS
get_64b_1k	aki-bench	12036354	5225337	3906702	2.303	0.831	0		PASS
get_64b_100k	aki-bench	11148923	5018867	3837919	2.221	0.797	0		PASS
incr_1k	aki-bench	11946600	4458772	4045285	2.679	0.703	0		PASS
incr_100k	aki-bench	11370687	4572985	3899451	2.486	0.725	0		PASS
incr_1m	aki-bench	10448331	4269287	3920460	2.447	0.691	0		PASS
set_64b_1m_zipf	aki-bench	10527539	3647391	2749355	2.886	0.710	0		PASS
get_64b_1m_zipf	aki-bench	10888489	4506385	3806176	2.416	0.850	0		PASS
set_1k_1m_zipf	aki-bench	5969215	3098621	2221573	1.926	0.933	0		MISS
get_1k_1m_zipf	aki-bench	4864328	2336340	2171461	2.082	1.176	0		PASS
mset_64b_1m	aki-bench	4120180	1221983	1443622	2.854	0.672	0		PASS
getrange_1k_1m	aki-bench	8321739	2689548	2470865	3.094	0.614	0		PASS
getrange_64k_100k	aki-bench	989320	2300819	2106919	0.430	2.679	0		MISS
append_grow_1m	aki-bench	5656958	2881974	2754718	1.963	2.343	0		MISS
mget_64b_1m	redis-benchmark	1063123	469291	550509	1.931	1.024	0		MISS
getrange_rb_1k	redis-benchmark	7957560	2660754	2395688	2.991	0.832	0		PASS
getrange_rb_64k	redis-benchmark	796813	1982162	1994020	0.400	4.889	0		MISS
setrange_rb_1k	redis-benchmark	7989348	2993265	2662525	2.669	0.521	0		PASS
setrange_rb_64k	redis-benchmark	3921569	1984127	1992032	1.969	1.555	0		MISS
append_rb_1k	redis-benchmark	2392822	2993265	2994759	0.799	4.768	0		MISS
append_rb_64k	redis-benchmark	3929288	1978241	1996008	1.969	1.735	0		MISS
hot_set	aki-bench	12370780	5169841	3080076	2.393	0.747	0		PASS
hot_incr	aki-bench	13003178	5640246	4317628	2.305	0.750	0		PASS
p1_set_64b_c50	aki-bench	203369	244403	442663	0.459	1.315	0		MISS
p1_set_64b_c512	aki-bench	1653994	1169152	970587	1.415	0.973	0		MISS
ltm_get	aki-bench	1807774	1209127	1107522	1.495	3.003	0	1.0000	MISS
ltm_set	aki-bench	1351031	1102616	970389	1.225	18.996	0	1.0000	MISS
sweep_set_256b_zipf	aki-bench	9733620	3512852	2535550	2.771	0.735	0		PASS
sweep_get_256b_zipf	aki-bench	9010284	3497910	3139850	2.576	0.800	0		PASS
sweep_set_4k_zipf	aki-bench	1847337	1779625	1190179	1.038	1.105	0		MISS
sweep_get_4k_zipf	aki-bench	1545785	1355659	712664	1.140	2.748	0		MISS
sweep_set_64b_c50	aki-bench	1820593	2684555	2735624	0.666	1.625	0		MISS
sweep_get_64b_c50	aki-bench	1917960	2997714	3606096	0.532	1.597	0		MISS
sweep_mixed_64b	aki-bench	10002942	3918020	3536850	2.553	0.687	0		PASS
all32_set_64b	aki-bench	9808142	3520129	2791874	2.786	0.589	0		PASS
all32_get_64b	aki-bench	9921429	4411107	3880651	2.249	0.702	0		PASS
