arm,n,policy,mode,buckets,chain_links,fill_mean,fill_p50,fill_p95,fill_max,chained_pct,chain2_pct,splits,max_split_window,dir_b_per_key,disk_b_per_key,heap_dir_b_per_key,elapsed_s
occupancy,1000000,doc,counts,24925,8144,0.9552,34,69,97,32.5456,0.1284,24924,3438,0.3988,16.9,0.4041,0.0
occupancy,1000000,lf75,counts,31747,1581,0.7500,31,42,85,4.9705,0.0094,31746,2525,0.5080,17.1,0.5151,0.0
occupancy,1000000,lf85,counts,28012,5151,0.8500,32,65,95,18.3457,0.0428,28011,2921,0.4482,17.0,0.4532,0.0
occupancy,10000000,doc,counts,246278,73560,0.9668,39,70,111,28.5531,1.3156,246277,3770,0.3940,16.4,0.3980,0.1
occupancy,10000000,lf75,counts,320184,48199,0.7436,33,47,68,15.0535,0.0000,320183,2766,0.5123,18.9,0.5160,0.1
occupancy,10000000,lf85,counts,289951,55361,0.8212,36,48,69,19.0932,0.0000,289950,3235,0.4639,17.7,0.4674,0.1
occupancy,100000000,doc,counts,2887501,1006844,0.8246,30,56,84,34.8689,0.0001,2887500,3829,0.4620,19.9,0.4650,1.1
occupancy,100000000,lf75,counts,3238187,737539,0.7353,26,54,85,22.7763,0.0000,3238186,2831,0.5181,20.4,0.5213,1.0
occupancy,100000000,lf85,counts,3096452,847350,0.7689,27,55,86,27.3651,0.0001,3096451,3235,0.4954,20.2,0.4985,1.0
occupancy,1000000000,doc,counts,25383609,8330202,0.9380,33,67,103,32.7637,0.0536,25383608,3832,0.4061,17.3,0.4085,18.2
occupancy,1000000000,lf75,counts,31746032,2193594,0.7500,30,51,101,6.9005,0.0093,31746031,2848,0.5079,17.4,0.5109,19.0
occupancy,1000000000,lf85,counts,28011205,5797538,0.8500,31,65,107,20.6637,0.0335,28011204,3290,0.4482,17.3,0.4508,19.1
occupancy,10000000,doc,exact,246043,73607,0.9677,39,70,114,28.6011,1.3152,246042,3696,0.3937,16.4,0.3965,0.4
arm,n,probes,present_false,absent_false,present_pct,absent_pct,predicted_pct
falsehit,10000000,2000000,1322,1250,0.0661,0.0625,0.0620
